Año,Category,Comuna,Pobres,No pobres,Total,Ingreso Autónomo,Ingreso Monetario,Ingresos del trabajo,Ingreso Total,Hombre,Mujer,Hombres,Mujeres,fonasa,ff.aa. y del orden,isapre,ninguno (particular),otro sistema,ACEPTABLE,DEFICITARIO,TOTAL,VIVIENDA ACEPTABLE,VIVIENDA RECUPERABLE,VIVIENDA IRRECUPERABLE,Sin Hacinamiento,Con Hacinamiento,Ponlación nacida en Chile,Población nacida fuera de Chile,Pertenece a algún pueblo originario,No pertenece a ningún pueblo originario,Población con discapacidad,Población sin discapacidad,Participa,No participa,CASEN 2015,Unnamed: 4,Codigo,Comuna ,CASEN 2011,CASEN 2015.1,CASEN 2011.1,CASEN 2013,CASEN 2011.2,CASEN 2013.1,Unnamed: 10,Tasa Mort,no sabe,No sabe
2017,INGRESOS,San José de Maipo,,,,856821.35,874691.33,NA,1128887.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Colina,,,,1315110.7,1345972.6,NA,1599874.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Lampa,,,,1154427.2,1183012.4,NA,1407350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Tiltil,,,,655497.26,695128.58,NA,857320.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,San Bernardo,,,,754971.33,787219.23,NA,956432.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Buin,,,,761649.12,796698.68,NA,961861.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Calera de Tango,,,,894701.4,927498.4,NA,1115978.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Paine,,,,1018633.1,1046729.8,NA,1261041.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Melipilla,,,,640956.34,676131.86,NA,845849.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Alhué,,,,750061.22,784278.29,NA,953691.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Curacaví,,,,546970.72,584463.56,NA,821260.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,María Pinto,,,,473604.17,513045.35,NA,682443.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,San Pedro,,,,528836.21,603096.86,NA,734488.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,Talagante,,,,971492.61,993439.29,NA,1228489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INGRESOS,El Monte,,,,730421.34,763385.67,NA,928873.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
