CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13109,LA CISTERNA,,,,81325.0,TRAMO FONASA,15754.0,31023.0,13387.0,21161.0,,,,,,,,,,,,,,,,,,,,,,,,
13110,LA FLORIDA,,,,354725.0,TRAMO FONASA,57369.0,141395.0,59484.0,96477.0,,,,,,,,,,,,,,,,,,,,,,,,
13111,LA GRANJA,,,,137367.0,TRAMO FONASA,28542.0,53100.0,22308.0,33417.0,,,,,,,,,,,,,,,,,,,,,,,,
13112,LA PINTANA,,,,161242.0,TRAMO FONASA,42478.0,59634.0,25265.0,33865.0,,,,,,,,,,,,,,,,,,,,,,,,
13113,LA REINA,,,,46131.0,TRAMO FONASA,4470.0,20459.0,7788.0,13414.0,,,,,,,,,,,,,,,,,,,,,,,,
13114,LAS CONDES,,,,97174.0,TRAMO FONASA,8977.0,43329.0,16039.0,28829.0,,,,,,,,,,,,,,,,,,,,,,,,
13115,LO BARNECHEA,,,,43520.0,TRAMO FONASA,5261.0,17933.0,8473.0,11853.0,,,,,,,,,,,,,,,,,,,,,,,,
13116,LO ESPEJO,,,,96227.0,TRAMO FONASA,21906.0,37211.0,15661.0,21449.0,,,,,,,,,,,,,,,,,,,,,,,,
13117,LO PRADO,,,,123675.0,TRAMO FONASA,24151.0,48266.0,20656.0,30602.0,,,,,,,,,,,,,,,,,,,,,,,,
13118,MACUL,,,,123013.0,TRAMO FONASA,22091.0,46787.0,19766.0,34369.0,,,,,,,,,,,,,,,,,,,,,,,,
13119,MAIPÚ,,,,357050.0,TRAMO FONASA,44991.0,139457.0,62108.0,110494.0,,,,,,,,,,,,,,,,,,,,,,,,
13120,ÑUÑOA,,,,111971.0,TRAMO FONASA,11580.0,46983.0,17446.0,35962.0,,,,,,,,,,,,,,,,,,,,,,,,
13121,PEDRO AGUIRRE CERDA,,,,109110.0,TRAMO FONASA,22147.0,43467.0,17535.0,25961.0,,,,,,,,,,,,,,,,,,,,,,,,
13122,PEÑALOLÉN,,,,207207.0,TRAMO FONASA,40509.0,82733.0,34350.0,49615.0,,,,,,,,,,,,,,,,,,,,,,,,
13123,PROVIDENCIA,,,,80204.0,TRAMO FONASA,6416.0,34879.0,12497.0,26412.0,,,,,,,,,,,,,,,,,,,,,,,,
13124,PUDAHUEL,,,,207630.0,TRAMO FONASA,37278.0,77273.0,35599.0,57480.0,,,,,,,,,,,,,,,,,,,,,,,,
13125,QUILICURA,,,,177863.0,TRAMO FONASA,28195.0,61138.0,32891.0,55639.0,,,,,,,,,,,,,,,,,,,,,,,,
13126,QUINTA NORMAL,,,,110583.0,TRAMO FONASA,22990.0,39853.0,19188.0,28552.0,,,,,,,,,,,,,,,,,,,,,,,,
13127,RECOLETA,,,,146454.0,TRAMO FONASA,32832.0,55487.0,24934.0,33201.0,,,,,,,,,,,,,,,,,,,,,,,,
13128,RENCA,,,,139365.0,TRAMO FONASA,29337.0,50886.0,23893.0,35249.0,,,,,,,,,,,,,,,,,,,,,,,,
13129,SAN JOAQUÍN,,,,95555.0,TRAMO FONASA,19237.0,37708.0,15463.0,23147.0,,,,,,,,,,,,,,,,,,,,,,,,
13130,SAN MIGUEL,,,,108661.0,TRAMO FONASA,18448.0,39800.0,18101.0,32312.0,,,,,,,,,,,,,,,,,,,,,,,,
13131,SAN RAMÓN,,,,82116.0,TRAMO FONASA,19301.0,32100.0,12533.0,18182.0,,,,,,,,,,,,,,,,,,,,,,,,
13132,VITACURA,,,,20945.0,TRAMO FONASA,1325.0,9506.0,3974.0,6140.0,,,,,,,,,,,,,,,,,,,,,,,,
13201,PUENTE ALTO,,,,435512.0,TRAMO FONASA,71989.0,169752.0,75469.0,118302.0,,,,,,,,,,,,,,,,,,,,,,,,
